op,passed,total,failed,baseline_ms,candidate_ms,speedup
batch_norm2d,1,1,0,0.032319,0.089456,0.3613
chunk_gla,5,5,0,11.698650,11.680170,1.0016
chunk_retention,1,1,0,0.210358,0.211950,0.9925
conv2d,39,39,0,2.614124,2.752201,0.9498
conv3d,1,1,0,0.181778,0.179526,1.0125
dense_attention,17,17,0,10.572094,10.810698,0.9779
diffusion_rope,2,2,0,0.293295,0.288554,1.0164
embedding,13,13,0,0.266844,0.237324,1.1244
flash_attn_decode,1,1,0,0.036689,0.311105,0.1179
flash_attn_prefill,5,5,0,0.344541,0.905019,0.3807
flash_attn_varlen,1,1,0,0.335246,73.762767,0.0045
flashinfer_decode,56,56,0,3.465278,5002.885147,0.0007
flashinfer_prefill,18,18,0,487.673887,529.960194,0.9202
flux_pos_embed,2,2,0,0.574107,0.518238,1.1078
fp8_linear,14,14,0,1.825428,1.783397,1.0236
fused_recurrent_gla,5,5,0,0.662828,0.642003,1.0324
fused_recurrent_retention,1,1,0,0.185152,0.180935,1.0233
gelu,31,31,0,3.030368,43.305062,0.0700
gla_recurrence,1,1,0,0.144623,0.142807,1.0127
interpolate,2,2,0,0.147072,0.150778,0.9754
l2_norm,1,1,0,0.085021,0.112853,0.7534
layer_norm,34,34,0,5.695242,15.352317,0.3710
linear,66,66,0,4.701753,5.199950,0.9042
log_sigmoid,9,9,0,0.542698,6.947767,0.0781
max_pool2d,1,1,0,0.063257,0.065592,0.9644
moe_align,10,10,0,0.300342,60.187115,0.0050
moe_grouped_gemm,12,12,0,15.360132,15.426960,0.9957
moe_sum,5,5,0,0.614015,0.603632,1.0172
mrope,5,5,0,0.543876,1.439299,0.3779
mrope_input_positions,5,5,0,0.057607,0.057364,1.0042
mxfp4_moe,5,5,0,12.650280,12.654631,0.9997
oasis_rotary,1,1,0,0.034077,0.031820,1.0709
quickgelu,1,1,0,0.025654,0.046345,0.5535
relu,1,1,0,0.013782,0.022313,0.6177
rms_norm,35,35,0,1.425097,10.067033,0.1416
rotary_emb,5,5,0,0.325740,0.320311,1.0169
sigmoid,1,1,0,0.034982,0.152509,0.2294
silu,24,24,0,0.320445,0.788696,0.4063
silu_and_mul,10,10,0,0.612594,5.061921,0.1210
silu_mul_quant_fp8,1,1,0,0.039512,0.036717,1.0761
softmax,2,2,0,0.129493,0.479989,0.2698
store_kvcache,15,15,0,0.316942,0.305730,1.0367
t5_layer_norm,6,6,0,2.959514,2.949392,1.0034
tensor_ops,1,1,0,0.021340,0.029502,0.7233
topk_softmax,5,5,0,0.104408,1.020165,0.1023
vision_rotary_emb,5,5,0,0.452659,0.427070,1.0599
yarn_rotary_emb,1,1,0,0.021749,0.021825,0.9965
